data,adresas,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2022-04-22,5010 IMP DE LA CROIX TOURNEAU,44330.0,namas,89.0,4.0,0,319000.0,3584.0,498.0,47.163959,-1.261595,44212000AY1744
2022-05-23,39 RUE SAINT VINCENT,44330.0,namas,107.0,5.0,1,275000.0,2570.0,504.0,47.161234,-1.273216,44212000ZR0203
2024-02-05,28 BD D ITALIE,44330.0,namas,84.0,4.0,0,249900.0,2975.0,511.0,47.15643,-1.266911,44212000ZS0706
2021-09-30,7 RUE DU VAL DE LOGNE,44330.0,namas,86.0,5.0,0,250000.0,2907.0,513.0,47.162057,-1.259951,44212000AZ0186
2024-02-27,1 RUE DU CLOS JULIENNE,44330.0,namas,96.0,5.0,0,220500.0,2297.0,523.0,47.16135,-1.259667,44212000AZ0189
2022-09-27,6991 CHAMPS FOUGEROUX,44330.0,namas,180.0,6.0,1,680000.0,3778.0,524.0,47.156323,-1.265977,44212000ZS0689
2021-05-03,1 AV DES ROSES,44330.0,namas,99.0,5.0,0,249240.0,2518.0,536.0,47.163685,-1.27245,44212000AX0043
2025-07-16,3 RUE DE LA CROIX GRISE,44330.0,namas,95.0,5.0,0,245000.0,2579.0,543.0,47.165344,-1.269865,44212000AT0087
2025-05-21,6 AV DES ROSES,44330.0,namas,92.0,5.0,1,262000.0,2848.0,550.0,47.164232,-1.27207,44212000AX0022
2022-03-01,34 AV DU GENERAL HEURTAUX,44330.0,namas,76.0,4.0,1,271000.0,3566.0,554.0,47.163484,-1.272912,44212000AX0257
