data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2025-04-10,7 RUE ST CHARLES,44000.0,butas,50.0,2.0,2,255000.0,5100.0,1131.0,47.224588,-1.543376,44109000ET0383
2024-09-25,7 RUE ST CHARLES,44000.0,butas,112.0,4.0,1,869600.0,7764.0,1131.0,47.224588,-1.543376,44109000ET0383
2021-05-04,7 RUE ST CHARLES,44000.0,butas,106.0,4.0,1,670000.0,6321.0,1131.0,47.224588,-1.543376,44109000ET0383
2024-04-04,21 BD STALINGRAD,44000.0,butas,100.0,3.0,0,300000.0,3000.0,1131.0,47.21851,-1.540218,44109000ES0249
2022-04-20,7 RUE ST CHARLES,44000.0,butas,24.0,1.0,1,120000.0,5000.0,1131.0,47.224588,-1.543376,44109000ET0383
2022-12-02,7 RUE ST CHARLES,44000.0,butas,112.0,4.0,1,812000.0,7250.0,1131.0,47.224588,-1.543376,44109000ET0383
2021-12-27,7 RUE ST CHARLES,44000.0,butas,76.0,4.0,2,475000.0,6250.0,1131.0,47.224588,-1.543376,44109000ET0383
2022-05-17,6 AV DES DALMATIENS,44300.0,namas,105.0,5.0,0,481500.0,4586.0,1132.0,47.233392,-1.520518,44109000BE0325
2024-09-13,3 AV CHANTEPIE,44000.0,namas,116.0,4.0,0,380000.0,3276.0,1132.0,47.22553,-1.543353,44109000ET0096
2023-01-17,2 RUE FREDERIC CAILLIAUD,44000.0,butas,40.0,1.0,1,170000.0,4250.0,1133.0,47.218555,-1.540299,44109000ES0277
2025-12-29,9 RUE ST-DONATIEN,44000.0,butas,26.0,2.0,0,117000.0,4500.0,1133.0,47.228325,-1.542452,44109000BZ0202
2024-08-21,7 RUE D IRLANDE,44000.0,butas,57.0,3.0,2,203000.0,3561.0,1134.0,47.214719,-1.52588,44109000CP0567
2025-03-17,9 RUE D IRLANDE,44000.0,butas,61.0,3.0,2,230000.0,3770.0,1134.0,47.214719,-1.52588,44109000CP0567
2025-10-02,9 RUE D IRLANDE,44000.0,butas,62.0,3.0,2,255000.0,4113.0,1134.0,47.214719,-1.52588,44109000CP0567
2025-04-30,7 RUE D IRLANDE,44000.0,butas,78.0,4.0,2,245500.0,3147.0,1134.0,47.214719,-1.52588,44109000CP0567
2025-11-27,7 RUE D IRLANDE,44000.0,butas,57.0,3.0,2,184500.0,3237.0,1134.0,47.214719,-1.52588,44109000CP0567
2024-12-26,7 RUE D IRLANDE,44000.0,butas,78.0,4.0,2,230000.0,2949.0,1134.0,47.214719,-1.52588,44109000CP0567
2025-07-18,9 RUE D IRLANDE,44000.0,butas,48.0,2.0,2,157000.0,3271.0,1134.0,47.214719,-1.52588,44109000CP0567
2024-07-12,9 RUE D IRLANDE,44000.0,butas,61.0,3.0,2,245000.0,4016.0,1134.0,47.214719,-1.52588,44109000CP0567
2024-04-25,5 RUE D IRLANDE,44000.0,butas,80.0,4.0,2,300000.0,3750.0,1134.0,47.214719,-1.52588,44109000CP0567
